UNIDAD OPERATIVA,PROVEEDOR,SERIAL,MARCA,MODELO,TIPO DE EQUIPO,OBSERVACIONES
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",16HSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",D2KSR93,DELL,Latitude 3420,L2_Equipo Portatil Intermedio,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",61JCR83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",557387,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",74KSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",DQY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",557376,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",CQKSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",9RKSR93,DELL,Latitude 3420,L2_Equipo Portatil Intermedio,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",2QY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",557395,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",3WHSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",7464052023ZY2,LEXMARK,MX722adhe,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523924,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",7464052023ZY6,LEXMARK,MX722adhe,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",7464051023YL5,LEXMARK,MX722adhe,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",7464052023ZTD,LEXMARK,MX722adhe,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",7464052023ZWX,LEXMARK,MX722adhe,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",7464052024010,LEXMARK,MX722adhe,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523303,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",FRY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539235,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",9MGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SL0,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SNR,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SJM,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443HD,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BF,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443D8,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BX,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BS,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443C0,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443F3,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443HF,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443G6,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BY,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443C6,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443C3,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443H7,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BQ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443HJ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443DZ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443CK,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443BR,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SLY,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443DS,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SPQ,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SNL,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SJD,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SJT,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SM3,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443G5,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443JD,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443GD,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SGX,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443D0,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443H9,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL12443HK,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
